District,Year,Month,prcp
Ampara,1984,1,330.77
Ampara,1984,2,305.08
Ampara,1984,3,136.4
Ampara,1984,4,272.4
Ampara,1984,5,69.13
Ampara,1984,6,29.099999999999998
Ampara,1984,7,165.85
Ampara,1984,8,31.93
Ampara,1984,9,236.1
Ampara,1984,10,157.48
Ampara,1984,11,269.7
Ampara,1984,12,80.28999999999999
Ampara,1985,1,86.8
Ampara,1985,2,127.12
Ampara,1985,3,94.55
Ampara,1985,4,33.9
Ampara,1985,5,71.61
Ampara,1985,6,69.3
Ampara,1985,7,19.53
Ampara,1985,8,41.54
Ampara,1985,9,122.99999999999999
Ampara,1985,10,136.4
Ampara,1985,11,215.70000000000002
Ampara,1985,12,137.64000000000001
Ampara,1986,1,314.96
Ampara,1986,2,78.68
Ampara,1986,3,190.03
Ampara,1986,4,86.10000000000001
Ampara,1986,5,50.529999999999994
Ampara,1986,6,32.400000000000006
Ampara,1986,7,28.21
Ampara,1986,8,73.78
Ampara,1986,9,56.699999999999996
Ampara,1986,10,330.46
Ampara,1986,11,122.69999999999999
Ampara,1986,12,123.38
Ampara,1987,1,109.12
Ampara,1987,2,55.72
Ampara,1987,3,39.68
Ampara,1987,4,90.6
Ampara,1987,5,82.77
Ampara,1987,6,31.8
Ampara,1987,7,1.24
Ampara,1987,8,54.25
Ampara,1987,9,95.4
Ampara,1987,10,277.14
Ampara,1987,11,203.7
Ampara,1987,12,103.85000000000001
Ampara,1988,1,19.22
Ampara,1988,2,60.900000000000006
Ampara,1988,3,91.76
Ampara,1988,4,205.2
Ampara,1988,5,24.490000000000002
Ampara,1988,6,39.300000000000004
Ampara,1988,7,43.4
Ampara,1988,8,89.89999999999999
Ampara,1988,9,80.1
Ampara,1988,10,52.39
Ampara,1988,11,163.8
Ampara,1988,12,113.14999999999999
Ampara,1989,1,124.0
Ampara,1989,2,21.28
Ampara,1989,3,48.050000000000004
Ampara,1989,4,52.8
Ampara,1989,5,68.2
Ampara,1989,6,58.8
Ampara,1989,7,159.65
Ampara,1989,8,22.32
Ampara,1989,9,124.19999999999999
Ampara,1989,10,160.27
Ampara,1989,11,252.0
Ampara,1989,12,96.10000000000001
Ampara,1990,1,127.72
Ampara,1990,2,8.96
Ampara,1990,3,51.15
Ampara,1990,4,33.0
Ampara,1990,5,127.72
Ampara,1990,6,40.2
Ampara,1990,7,31.0
Ampara,1990,8,60.14
Ampara,1990,9,24.0
Ampara,1990,10,188.79
Ampara,1990,11,87.30000000000001
Ampara,1990,12,146.94
Ampara,1991,1,67.58
Ampara,1991,2,5.6000000000000005
Ampara,1991,3,26.349999999999998
Ampara,1991,4,48.0
Ampara,1991,5,61.69
Ampara,1991,6,82.8
Ampara,1991,7,35.339999999999996
Ampara,1991,8,33.17
Ampara,1991,9,43.5
Ampara,1991,10,205.84
Ampara,1991,11,197.10000000000002
Ampara,1991,12,143.84
Ampara,1992,1,20.150000000000002
Ampara,1992,2,0.87
Ampara,1992,3,0.0
Ampara,1992,4,62.099999999999994
Ampara,1992,5,112.22
Ampara,1992,6,30.6
Ampara,1992,7,62.92999999999999
Ampara,1992,8,54.87
Ampara,1992,9,60.89999999999999
Ampara,1992,10,116.55999999999999
Ampara,1992,11,291.0
Ampara,1992,12,178.56
Ampara,1993,1,15.19
Ampara,1993,2,11.200000000000001
Ampara,1993,3,38.75
Ampara,1993,4,51.6
Ampara,1993,5,84.94000000000001
Ampara,1993,6,78.60000000000001
Ampara,1993,7,53.63
Ampara,1993,8,18.29
Ampara,1993,9,33.300000000000004
Ampara,1993,10,218.85999999999999
Ampara,1993,11,266.40000000000003
Ampara,1993,12,276.21
Ampara,1994,1,155.93
Ampara,1994,2,165.48000000000002
Ampara,1994,3,31.62
Ampara,1994,4,72.9
Ampara,1994,5,70.37
Ampara,1994,6,18.0
Ampara,1994,7,29.45
Ampara,1994,8,19.53
Ampara,1994,9,55.800000000000004
Ampara,1994,10,160.89000000000001
Ampara,1994,11,122.4
Ampara,1994,12,31.62
Ampara,1995,1,35.029999999999994
Ampara,1995,2,17.36
Ampara,1995,3,3.1
Ampara,1995,4,40.800000000000004
Ampara,1995,5,33.480000000000004
Ampara,1995,6,11.700000000000001
Ampara,1995,7,6.2
Ampara,1995,8,9.61
